Title,Description,Preconditions,Test Step #,Test Step Action,Test Step Expected Result,Test Type,Design Technique,API Path,HTTP Method,Priority,Created Date
Positive case: Basic logout with valid API key,Testing logout functionality with a valid API key in the header.,User is logged in and has a valid API key.,1,Send GET request to /user/logout with valid API key in header.,Response code 200 and successful logout message.,Positive,EP,/user/logout,GET,High,2025-11-16T16:04:22.063876
Negative case: Logout without API key,Testing logout functionality without providing an API key.,User is logged in.,1,Send GET request to /user/logout without API key in header.,Response code 401 Unauthorized.,Negative,Error Guessing,/user/logout,GET,High,2025-11-16T16:04:22.064009
Negative case: Logout with invalid API key,Testing logout functionality with an invalid API key.,User is logged in.,1,Send GET request to /user/logout with invalid API key in header.,Response code 401 Unauthorized.,Negative,Error Guessing,/user/logout,GET,High,2025-11-16T16:04:22.064020
Negative case: Logout with expired API key,Testing logout functionality with an expired API key.,User is logged in.,1,Send GET request to /user/logout with expired API key in header.,Response code 401 Unauthorized.,Negative,Error Guessing,/user/logout,GET,High,2025-11-16T16:04:22.064026
Negative case: Logout with API key lacking permissions,Testing logout functionality with an API key that lacks necessary permissions.,User is logged in.,1,Send GET request to /user/logout with API key lacking logout permission in header.,Response code 403 Forbidden.,Negative,Error Guessing,/user/logout,GET,High,2025-11-16T16:04:22.064031
Negative case: Logout when user is already logged out,Testing logout functionality when the user is already logged out.,User is logged out.,1,Send GET request to /user/logout with valid API key in header after logout.,Response code 400 Bad Request or appropriate message.,Negative,Error Guessing,/user/logout,GET,Medium,2025-11-16T16:04:22.064036
Negative case: Logout with malformed API key format,Testing logout functionality with a malformed API key.,User is logged in.,1,Send GET request to /user/logout with malformed API key in header.,Response code 401 Unauthorized.,Negative,Error Guessing,/user/logout,GET,Medium,2025-11-16T16:04:22.064041
Positive case: Logout with valid API key in different format,Testing logout functionality with valid API key in a different case.,User is logged in and has a valid API key.,1,Send GET request to /user/logout with valid API key in uppercase in header.,Response code 200 and successful logout message.,Positive,EP,/user/logout,GET,Medium,2025-11-16T16:04:22.064046
Negative case: Logout with unsupported HTTP method,Testing logout functionality using an unsupported HTTP method.,User is logged in.,1,Send POST request to /user/logout with valid API key in header.,Response code 405 Method Not Allowed.,Negative,Error Guessing,/user/logout,POST,Medium,2025-11-16T16:04:22.064051
Negative case: Logout request to non-existing endpoint,Testing logout functionality by sending a request to a non-existing endpoint.,User is logged in.,1,Send GET request to /user/non_existing_logout with valid API key in header.,Response code 404 Not Found.,Negative,Error Guessing,/user/non_existing_logout,GET,Low,2025-11-16T16:04:22.064056
Negative case: Logout with multiple invalid API keys in the header,Testing logout functionality with multiple invalid API keys in the header.,User is logged in.,1,Send GET request to /user/logout with multiple invalid API keys in header.,Response code 401 Unauthorized.,Negative,Error Guessing,/user/logout,GET,Low,2025-11-16T16:04:22.064060
"Positive case - valid username (GET /user/{username}, EP)",Fetch user information for a valid username.,User with username 'user1' exists in the system.,1,Send GET request to /user/user1,200 OK with user details,Positive,EP,/user/user1,GET,High,2025-11-16T16:04:40.604926
"Positive case - username with maximum length (GET /user/{username}, BVA)",Fetch user information for a username with maximum length.,User with username 'usermaxlength' exists in the system.,1,Send GET request to /user/usermaxlength,200 OK with user details,Positive,BVA,/user/usermaxlength,GET,Medium,2025-11-16T16:04:40.604964
"Positive case - username with minimum length (GET /user/{username}, BVA)",Fetch user information for a username with minimum length.,User with username 'u' exists in the system.,1,Send GET request to /user/u,200 OK with user details,Positive,BVA,/user/u,GET,Medium,2025-11-16T16:04:40.604973
"Negative case - empty username (GET /user/{username}, EP)",Attempt to fetch user information with an empty username.,None.,1,Send GET request to /user/,400 Bad Request - Invalid username supplied,Negative,EP,/user/,GET,High,2025-11-16T16:04:40.604981
"Negative case - username too short (GET /user/{username}, BVA)",Attempt to fetch user information with a username shorter than minimum length.,None.,1,Send GET request to /user/a,400 Bad Request - Invalid username supplied,Negative,BVA,/user/,GET,High,2025-11-16T16:04:40.604987
"Negative case - username too long (GET /user/{username}, BVA)",Attempt to fetch user information with a username longer than maximum length.,None.,1,Send GET request to /user/thisusernameiswaytoolong,400 Bad Request - Invalid username supplied,Negative,BVA,/user/,GET,High,2025-11-16T16:04:40.604994
"Negative case - invalid username format (GET /user/{username}, Error Guessing)",Attempt to fetch user information with an invalid username format.,None.,1,Send GET request to /user/invalid@username,400 Bad Request - Invalid username supplied,Negative,Error Guessing,/user/invalid@username,GET,High,2025-11-16T16:04:40.605000
"Negative case - SQL injection in username (GET /user/{username}, Error Guessing)",Attempt to fetch user information using SQL injection in username.,None.,1,Send GET request to /user/' OR '1'='1,400 Bad Request - Invalid username supplied,Negative,Error Guessing,/user/' OR '1'='1,GET,High,2025-11-16T16:04:40.605006
"Negative case - XSS in username (GET /user/{username}, Error Guessing)",Attempt to fetch user information using XSS in username.,None.,1,Send GET request to /user/<script>alert('XSS')</script>,400 Bad Request - Invalid username supplied,Negative,Error Guessing,/user/<script>alert('XSS')</script>,GET,High,2025-11-16T16:04:40.605023
